Season,Team,Player,Pos,TotalPoints,TotalPointsAboveAvg
2018,Alabama,Tua Tagovailoa,QB,151,92
2018,Alabama,Quinnen Williams,IDL,71,46
2018,Alabama,Josh Jacobs,RB,58,47
2018,Alabama,Shyheim Carter,CB,58,28
2018,Alabama,Anfernee Jennings,Edge,55,31
2018,Alabama,Xavier McKinney,S,54,18
2018,Alabama,Najee Harris,RB,53,46
2018,Alabama,Raekwon Davis,IDL,52,25
2018,Alabama,Isaiah Buggs,Edge,46,20
2018,Alabama,Deionte Thompson,S,46,10
2018,Alabama,Jerry Jeudy,WR,40,27
2018,Alabama,Damien Harris,RB,37,24
2018,Alabama,Christian Miller,Edge,36,18
2018,Alabama,Ross Pierschbacher,C,36,4
2018,Alabama,Jalen Hurts,QB,35,22
2018,Alabama,Jonah Williams,LT,34,3
2018,Alabama,Patrick Surtain II,CB,34,-2
2018,Alabama,Jedrick Wills Jr.,RT,33,1
2018,Alabama,Irv Smith Jr.,TE,32,15
2018,Alabama,Dylan Moses,LB,31,2
2018,Alabama,Alex Leatherwood,RG,29,-2
2018,Alabama,Henry Ruggs III,WR,27,15
2018,Alabama,Mack Wilson,LB,26,-9
2018,Alabama,Saivion Smith,CB,26,-4
2018,Alabama,Jaylen Waddle,WR,26,19
2018,Alabama,LaBryan Ray,Edge,21,9
2018,Alabama,DeVonta Smith,WR,19,9
2018,Alabama,Lester Cotton Sr.,LG,15,-7
2018,Alabama,Trevon Diggs,CB,13,0
2018,Alabama,Deonte Brown,LG,13,1
2018,Alabama,Hale Hentges,TE,13,-2
2018,Alabama,Phidarian Mathis,IDL,8,-3
2018,Alabama,Josh Jobe,CB,5,0
2018,Alabama,Johnny Dwight,IDL,5,-1
2018,Alabama,Jamey Mosley,Edge,5,1
2018,Alabama,Jared Mayden,S,5,-4
2018,Alabama,Derek Kief,WR,5,4
2018,Alabama,Miller Forristall,TE,2,-1
2018,Alabama,Chris Owens,C,1,-3
2018,Alabama,Tyrell Shavers,WR,0,-1
2018,Appalachian State,Zac Thomas,QB,73,29
